# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS005B.BIN	0:02	0	2	1FD2	犬：		Dog:	v005		
m/MS005B.BIN	0:02	1	8	1FD3	{02:08}{02:08}{02:08}\n<wait>	.........\n<wait>			draft	reads: ‥‥‥‥‥‥‥‥‥\n<wait> @ours-2026-09-05
m/MS005B.BIN	0:02	2	38	1FD2	{08:37}：		Sonoda:	v005		reads: 園田：; reads: 園田： @refalign
m/MS005B.BIN	0:02	3	44	1FD3	{08:45}で飼われ{08:14}犬達{08:62}訓練が行き届いていて、{08:0B}に対{08:8E}時以外{08:62}\n吠{08:28}事など全く{08:25}{08:5F}。\n<wait>		The dogs we keep here have been trained to only ever bark\nwhen in the presence of a demon.\n<wait>	v005		reads: ここで飼われている犬達は、訓練が行き届いていて、悪魔に対する時以外は、\n吠える事など全くないんだ。\n<wait>; reads: ここで飼われている犬達は、訓練が行き届いていて、悪魔に対する時以外は、\n吠える事など全くないんだ。\n<wait> @refalign
m/MS005B.BIN	0:02	4	130	1FD2	{08:37}：		Sonoda:	v005		reads: 園田：; reads: 園田： @refalign
m/MS005B.BIN	0:02	5	136	1FD3	訓練を行{08:16}の{08:62}{01:37}で{08:7B}渡邊{08:36}さ。\n<wait>		The person you came up with it was, you guessed it, our dear leader.\n<wait>	v005		reads: 訓練を行なったのは、リーダーである渡邊伸明さ。\n<wait>; reads: 訓練を行なったのは、リーダーである渡邊伸明さ。\n<wait> @refalign
m/MS005B.BIN	0:02	6	175	1FD2	{08:37}：		Sonoda:	v005		reads: 園田：; reads: 園田： @refalign
m/MS005B.BIN	0:02	7	181	1FD3	彼は本当に利口な{02:0B}だ。\n彼を見{08:14}と、本来、{02:0B}の知恵や思考と{08:68}{08:5E}{08:62}マニュアル{08:6A}か{08:81}\n得られ{08:25}{08:52}事を実感{08:8E}よ。\n<wait>		He really is a genius. One look at him makes it clear that\ntrue intelligence can only be obtained through first-hand experience.\n<wait>	v005		reads: 彼は本当に利口な人間だ。\n彼を見ていると、本来、人間の知恵や思考というものは、マニュアルなんかじゃ\n得られないって事を実感するよ。\n<wait>; reads: 彼は本当に利口な人間だ。\n彼を見ていると、本来、人間の知恵や思考というものは、マニュアルなんかじゃ\n得られないって事を実感するよ。\n<wait> @refalign
m/MS005B.BIN	0:02	8	299	1FD0	犬は毅然と{08:4B}態度で立っ{08:14}{02:08}\n<wait>		The dog stands before you dauntlessly.\n<wait>	v005		reads: 犬は毅然とした態度で立っている‥‥‥\n<wait>; reads: 犬は毅然とした態度で立っている‥‥‥\n<wait> @refalign
m/MS005B.BIN	0:03	0	2	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:03	1	15	09	なぁなぁ、{08:47}アメジストをはめ込{08:5F}ナイフを見てくれよ！\n{08:48}で闘うとさ、何だか強く{08:16}気が{08:8E}{08:5F}よね。\n		Check this out. I embedded an Amethyst to my knife.\nI've never felt as strong as I do swinging this thing around.\n	v005		reads: なぁなぁ、このアメジストをはめ込んだナイフを見てくれよ！\nこれで闘うとさ、何だか強くなった気がするんだよね。\n; reads: なぁなぁ、このアメジストをはめ込んだナイフを見てくれよ！\nこれで闘うとさ、何だか強くなった気がするんだよね。\n @refalign
m/MS005B.BIN	0:03	2	112	18	{08:45}で反感を買{08:64}く{08:25}{08:7D}、{08:79}格好何とかしろ。\n<wait>		If you don't want the people here to look at you funny,\nyou've gotta get some new clothes.\n<wait>	v005		reads: ここで反感を買いたくないなら、その格好何とかしろ。\n<wait>; reads: ここで反感を買いたくないなら、その格好何とかしろ。\n<wait> @refalign
m/MS005B.BIN	0:03	3	161	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:03	4	169	1FD3	ちゃらちゃらと{02:00}制服{08:6A}ざ着{08:2B}と、血の気の多い輩にヤら{08:2F}ぞ。\n<wait>		Don't take it personally. Some folks just don't like your kind.\n<wait>	v005		reads: ちゃらちゃらとデビルバスター制服なんざ着てると、血の気の多い輩にヤられるぞ。\n<wait>
m/MS005B.BIN	0:04	0	2	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:04	1	15	09	{08:48}{08:42}お前も、外に出る{08:46}が{08:7B}{08:8C}{08:84}、{08:05}の端末を\n見つ{08:43}ら、アクセス{08:4A}みる事だな。\n<wait>		The next time you're out there and come across a computer terminal,\ntry checking if you can access it.\n<wait>	v005		reads: これからお前も、外に出ることがあるだろうけど、コンピュータの端末を\n見つけたら、アクセスしてみる事だな。\n<wait>; reads: これからお前も、外に出ることがあるだろうけど、コンピュータの端末を\n見つけたら、アクセスしてみる事だな。\n<wait> @refalign
m/MS005B.BIN	0:04	2	99	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:04	3	107	1FD3	けっこう、使{08:28}{08:0A}が入っ{08:2B}事が多いぜ。\n<wait>		They can often contain tons of useful data.\n<wait>	v005		reads: けっこう、使えるデータが入ってる事が多いぜ。\n<wait>
m/MS005B.BIN	0:04	4	152	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:04	5	160	1FD3	{08:74}ど、ウイルスが潜んでる場合も{08:7B}{08:42}な。\n気を付けろよ。\n		That said, it's always worth it to remain vigilant.\nYou wouldn't want to be hit by a virus.\n	v005		reads: だけど、ウイルスが潜んでる場合もあるからな。\n気を付けろよ。\n
m/MS005B.BIN	0:04	6	217	18	アンタ達の住んでた{08:10}{08:81}あ、設備も行き届いて、\nそりゃキレイだ{08:51}ん{08:8C}{08:84}、{08:45}{08:81}勝手は違うぜ。\n<wait>		You might be used to your fancy facilities and nice equipment,\nbut here, things work out a bit differently.\n<wait>	v005		reads: アンタ達の住んでたシェルターじゃあ、設備も行き届いて、\nそりゃキレイだったんだろうけど、ここじゃ勝手は違うぜ。\n<wait>; reads: アンタ達の住んでたシェルターじゃあ、設備も行き届いて、\nそりゃキレイだったんだろうけど、ここじゃ勝手は違うぜ。\n<wait> @refalign
m/MS005B.BIN	0:04	7	313	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:04	8	321	1FD3	ベッド{08:62}米軍{08:42}援助{03:0C}た簡易ベッド{02:08}\n{01:3C}の{01:2E}に大勢ひしめき合{08:52}、何とか凌いでる{08:5F}。\n<wait>		The beds are straight from army barracks, and if you ever get\na room you don't have to share with at least five other guys,\nyou can consider yourself lucky.\n<wait>	v005		reads: ベッドは、米軍から援助された簡易ベッド‥‥‥\nひとつの部屋に大勢ひしめき合って、何とか凌いでるんだ。\n<wait>
m/MS005B.BIN	0:04	9	409	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:04	10	417	1FD3	{08:73}{08:56}、瓦礫の冷{08:4E}コンクリートの上に、ボロ布一枚で寝るよりは快適{08:8A}、\n安全だ{08:42}、誰も文句は言わ{08:25}{08:5F}よ。\n<wait>		Still, as long as we don't have to sleep on cold concrete\nand worry about getting eaten by demons all the time,\nit's definitely an improvement in my eyes.\n<wait>	v005		reads: こんなでも、瓦礫の冷たいコンクリートの上に、ボロ布一枚で寝るよりは快適だし、\n安全だから、誰も文句は言わないんだよ。\n<wait>
m/MS005B.BIN	0:05	0	2	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:05	1	15	09	お前、{01:31}に帰{08:52}{08:1E}{08:5F}な。\n{08:79}分だと、何か戦利品も{08:7B}ん{08:8C}？\n<wait>		I see that you made it back in one piece.\nSo, any booty you brought with you?\n<wait>	v005		reads: お前、無事に帰ってきたんだな。\nその分だと、何か戦利品もあるんだろう？\n<wait>; reads: お前、無事に帰ってきたんだな。\nその分だと、何か戦利品もあるんだろう？\n<wait> @refalign
m/MS005B.BIN	0:05	2	77	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:05	3	85	1FD3	{08:0B}共を倒{08:4A}手に入{08:60}武器防具も、{08:63}の体力や器用さが{08:25}と\n装備{08:23}ぜ。\n		You will sometimes obtain weapons and armour when killing demons.\nHowever, to equip them, you'll need to meet their stat requirements.\n	v005		reads: 悪魔共を倒して手に入れた武器防具も、自分の体力や器用さがないと\n装備できないぜ。\n
m/MS005B.BIN	0:05	4	152	18	{02:00}{02:08}‥か。\n<wait>		Devil Buster, huh?\n<wait>	v005		reads: デビルバスター‥‥‥‥か。\n<wait>; reads: デビルバスター‥‥‥‥か。\n<wait> @refalign
m/MS005B.BIN	0:05	5	171	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:05	6	179	1FD3	まるで、合成食をナイフとフォークで食うみてぇだな。\n過去の遺物に固執{08:8E}{08:74}で、全く無意味{08:52}ヤツだ。\n<wait>		I can just imagine your smug little ass eating synthesized food with\na goddamn knife and a fork. Give it up, man. The past is gone.\nNo point tryin' to stick to the customs of the old world now.\n<wait>	v005		reads: まるで、合成食をナイフとフォークで食うみてぇだな。\n過去の遺物に固執するだけで、全く無意味ってヤツだ。\n<wait>
m/MS005B.BIN	0:06	0	2	1FD2	女性：		Woman:	v005		
m/MS005B.BIN	0:06	1	10	1FD3	{08:45}{08:62}女性専用エリアよ！\n<wait>そう無闇に入{08:52}来{08:25}で欲しいわね！！\n<wait>		This area is for women only!\n<wait>I'd appreciate it if you didn't just barge in like that!\n<wait>	v005		reads: ここは、女性専用エリアよ！\n<wait>そう無闇に入って来ないで欲しいわね！！\n<wait>
m/MS005B.BIN	0:06	2	85	1FD2	女性：		Woman:	v005		
m/MS005B.BIN	0:06	3	93	1FD3	{08:56}{02:08}{01:39}だっ{08:50}、{08:7F}かな{02:08}\n<wait>		However, just for you... I'm willing to make an exception.\n<wait>	v005		reads: でも‥‥‥アナタだったら、いいかな‥‥‥\n<wait>
m/MS005B.BIN	0:07	0	2	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:07	1	15	09	正直言{08:52}、お前達が{08:45}{08:71}やると{08:62}夢にも思{08:52}{08:19}よ。\n<wait>		To be completely honest with you, not even in my wildest dreams\ndid I believe that you could actually pull this off.\n<wait>	v005		reads: 正直言って、お前達がここまでやるとは、夢にも思ってなかったよ。\n<wait>; reads: 正直言って、お前達がここまでやるとは、夢にも思ってなかったよ。\n<wait> @refalign
m/MS005B.BIN	0:07	2	70	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:07	3	78	1FD3	俺{08:62}すっかり見直{08:4B}ぜ！\n<wait>		You've proven me wrong!\n<wait>	v005		reads: 俺は、すっかり見直したぜ！\n<wait>
m/MS005B.BIN	0:07	4	113	09	ふん、お前達も、案外やる{08:81}ねぇか。\n<wait>根性が{08:7B}{08:52}事{08:74}{08:62}認めてやる。\n<wait>{08:8F}、{08:76}{08:0F}だと、思っ{08:2B}訳{08:81}{08:25}{08:42}な！\n<wait>		Heh. You guys are surprisingly capable.\n<wait>You have guts, I'll give you that.\n<wait>Still, make no mistake. You're not "one of us" quite just yet.\n<wait>	v005		reads: ふん、お前達も、案外やるじゃねぇか。\n<wait>根性があるって事だけは、認めてやる。\n<wait>だが、まだ仲間だと、思ってる訳じゃないからな！\n<wait>; reads: ふん、お前達も、案外やるじゃねぇか。\n<wait>根性があるって事だけは、認めてやる。\n<wait>だが、まだ仲間だと、思ってる訳じゃないからな！\n<wait> @refalign
m/MS005B.BIN	0:07	5	225	18	{02:00}だ{08:42}、何だ{08:52}{08:5F}よ！\n<wait>		Fuck Devil Busters! <wait>	v005		reads: デビルバスターだから、何だってんだよ！\n<wait>; reads: デビルバスターだから、何だってんだよ！\n<wait> @refalign
m/MS005B.BIN	0:07	6	254	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:07	7	262	1FD3	{08:10}健在の頃{08:62}外の事{08:6A}ざ知らん顔。\n<wait>住む場所が無く{08:16}ら、途端に{08:0F}{08:52}か？\n<wait>勝手なモンだぜ！！\n<wait>		While your shelter was still up,\nyou clearly didn't give two shits about us.\n<wait>You think we're gonna be all buddy-buddy with you because you\nlost your home? <wait>Fuck no!\n<wait>	v005		reads: シェルター健在の頃は、外の事なんざ知らん顔。\n<wait>住む場所が無くなったら、途端に仲間ってか？\n<wait>勝手なモンだぜ！！\n<wait>
m/MS005B.BIN	0:08	0	2	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:08	1	10	1FD3	お前、外の世界に{08:7B}泉{08:52}、見た事{08:7B}か？\n<wait>		Have you ever come across a fountain while traversing the surface world?\n<wait>	v005		reads: お前、外の世界にある泉って、見た事あるか？\n<wait>
m/MS005B.BIN	0:08	2	55	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:08	3	63	1FD3	今{08:81}滅多にお目にかかれ{08:25}、澄{08:5F}水の泉が{08:7B}{08:5F}。\n{08:74}ど、いくら{08:79}水が澄んでる{08:42}{08:52}、簡単に口にし{08:25}方が{08:7F}ぜ！\n<wait>		It's pretty rare to find clean water in this day and age.\nI still wouldn't recommend that you drink it, though.\n<wait>	v005		reads: 今じゃ滅多にお目にかかれない、澄んだ水の泉があるんだ。\nだけど、いくらその水が澄んでるからって、簡単に口にしない方がいいぜ！\n<wait>
m/MS005B.BIN	0:08	4	173	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:08	5	181	1FD3	ま、一回試{08:4A}みるのも良いか{08:5D}れ{08:25}な。\n何が起こ{08:51}{08:52}、俺は責任取ら{08:25}ぜ！\n<wait>		If you want to try it out, then be my guest.\nJust don't come bitch me about it if you get diarrhea!\n<wait>	v005		reads: ま、一回試してみるのも良いかもしれないな。\n何が起こったって、俺は責任取らないぜ！\n<wait>
m/MS005B.BIN	0:09	0	2	1FD2	女性：		Woman:	v005		
m/MS005B.BIN	0:09	1	10	1FD3	たま～に、{08:0B}を倒すと宝石が手に入る事が{08:7B}わよ。\n何かと、不思議な効力が{08:7B}み{08:4E}{08:74}ど。\n<wait>		You'll sometimes obtain gemstones when killing demons.\nApparently, they're used for something, though I couldn't tell you what.\n<wait>	v005		reads: たま～に、悪魔を倒すと宝石が手に入る事があるわよ。\n何かと、不思議な効力があるみたいだけど。\n<wait>
m/MS005B.BIN	0:0B	0	2	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:0B	1	15	09	あの、{01:08}が倒{08:60}{02:08}！　信じられ{08:25}！\n		You seriously took down Baal? I can't believe it!\n	ours		reads: あの、バエルが倒れた‥‥‥！　信じられない！\n
m/MS005B.BIN	0:0B	2	51	18	俺達{08:62}大義名分{08:6A}て{08:90}{08:56}{08:7F}。\n<wait>		Justice and all that means jack shit to me.\n<wait>	v005		reads: 俺達は、大義名分なんてどうでもいい。\n<wait>; reads: 俺達は、大義名分なんてどうでもいい。\n<wait> @refalign
m/MS005B.BIN	0:0B	3	86	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:0B	4	94	1FD3	皆、戦う{08:86}{08:25}{08:5F}よ。\n<wait>		At this point, we can only keep on fighting.\n<wait>	v005		reads: 皆、戦うしかないんだよ。\n<wait>
m/MS005B.BIN	0:0B	5	121	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:0B	6	129	1FD3	皆{02:08}失う{08:5E}{08:6A}て、命ぐらい{08:86}{08:25}{08:5F}。\n<wait>		Our lives are all we have left.\n<wait>	v005		reads: 皆‥‥‥失うものなんて、命ぐらいしかないんだ。\n<wait>
m/MS005B.BIN	0:0B	7	170	1FD2	若者：		Young Man:	v005		
m/MS005B.BIN	0:0B	8	178	1FD3	一人{08:7D}、{08:0B}に簡単に摘み取られちまう様な、ちっぽけな命{08:86}無い{08:5F}{02:08}\n<wait>		Our lives that could easily be snatched away at any point...\n<wait>	v005		reads: 一人なら、悪魔に簡単に摘み取られちまう様な、ちっぽけな命しか無いんだ‥‥‥\n<wait>
m/MS005B.BIN	0:0C	0	2	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0C	1	10	1FD3	{08:47}先には武器庫が{08:7B}ぜ{02:08}\n<wait>		This hallway leads to the armoury.\n<wait>	v005		reads: この先には武器庫があるぜ‥‥‥\n<wait>
m/MS005B.BIN	0:0D	0	2	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0D	1	10	1FD3	武器庫での武器の入手は無料だ。\n<wait>		You're free to take what you need from the armoury.\n<wait>	v005		
m/MS005B.BIN	0:0D	2	49	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0D	3	57	1FD3	持ち出し数量の制限は{08:7B}が、弾{08:6A}か、無闇に使っちまう方が馬鹿な{08:5F}よ。\n<wait>		That said, they will only give you a certain amounts\nof bullets and such, so you better use them sparingly.\n<wait>	v005		reads: 持ち出し数量の制限はあるが、弾なんか、無闇に使っちまう方が馬鹿なんだよ。\n<wait>
m/MS005B.BIN	0:0E	0	8	1F03						
m/MS005B.BIN	0:0E	1	209	1F03						
m/MS005B.BIN	0:0E	2	307	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0E	3	315	1FD3	{01:08}を倒しち{08:20}{08:5F}{08:52}な！\n<wait>		You took down Baal? Wow!\n<wait>	ours		reads: バエルを倒しちまったんだってな！\n<wait>
m/MS005B.BIN	0:0E	4	344	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0E	5	352	1FD3	見直{08:4B}ぜ！\n<wait>		I'll say, you have earned my respect!\n<wait>	v005		reads: 見直したぜ！\n<wait>
m/MS005B.BIN	0:0E	6	371	1FD2	女性：		Woman:	v005		
m/MS005B.BIN	0:0E	7	379	1FD3	{01:38}{08:6A}て、すっかり惚れちゃ{08:51}わよ{08:72}\nアンタとだっ{08:50}、寝た{08:52}{08:7F}わ！\n<wait>		I haven't felt like this in forever.\nI totally wouldn't mind spending a night with you.\n<wait>	v005		reads: アタシなんて、すっかり惚れちゃったわよ‥‥\nアンタとだったら、寝たっていいわ！\n<wait>
m/MS005B.BIN	0:0E	8	449	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0E	9	457	1FD3	{08:72}{08:51}く、女{08:52}のは勝手な生き物だな！\n<wait>		Fucking hell... Women, am I right?\n<wait>	v005		reads: ‥‥ったく、女ってのは勝手な生き物だな！\n<wait>
m/MS005B.BIN	0:0E	10	500	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0E	11	514	1F01	、{08:73}女よか、も{08:53}上玉{08:26}る！\n悪い事言わねぇ{08:42}、コイツ{08:74}は止めときな！！\n<wait>		Listen up, Katsuragi. You deserve better than her.\n<wait>	v005		reads: 、こんな女よか、もっと上玉はいる！\n悪い事言わねぇから、コイツだけは止めときな！！\n<wait> @rebase-tagdiff
m/MS005B.BIN	0:0E	12	592	1FD2	女性：		Woman:	v005		
m/MS005B.BIN	0:0E	13	600	1FD3	何{08:55}{08:52}ぇ！！！\n<wait>		Excuse me!?\n<wait>	v005		reads: 何ですってぇ！！！\n<wait>
m/MS005B.BIN	0:0E	14	623	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0E	15	631	1FD3	すげぇ手柄立てた{08:5F}{08:42}、当然、都庁行きだよな。\n<wait>		You pulled off an amazing feat, so of course you're headed to the\nGovernment Office.\n<wait>	ours		reads: すげぇ手柄立てたんだから、当然、都庁行きだよな。\n<wait>
m/MS005B.BIN	0:0E	16	684	1FD2	女性：		Woman:	v005		
m/MS005B.BIN	0:0E	17	692	1FD3	頑張{08:52}ね！　{08:79}うち追っかけてくわ！！\n<wait>		Do your best! I'll come chasing after you before long!!\n<wait>	ours		reads: 頑張ってね！　そのうち追っかけてくわ！！\n<wait>
m/MS005B.BIN	0:0E	18	736	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0E	19	744	1FD3	当直ぐらい、俺達{08:74}で十分だ。\nお前{08:62}英雄らしく、悠々と{01:2E}で休み{08:56}{08:4A}な！\n<wait>		The night watch, we've got that covered ourselves.\nYou go rest up in your room like the hero you are!\n<wait>	ours		reads: 当直ぐらい、俺達だけで十分だ。\nお前は、英雄らしく、悠々と部屋で休みでもしてな！\n<wait>
m/MS005B.BIN	0:0E	20	830	1F03						
m/MS005B.BIN	0:0E	21	862	1FD2	渡邊：		Watanabe:	v005		
m/MS005B.BIN	0:0E	22	870	1FD3	やあ。待{08:52}{08:64}よ。{08:5C}疲れはと{08:60}か？\n<wait>		There you are. I hope that I didn't wake you up.\n<wait>	v005		reads: やあ。待っていたよ。もう疲れはとれたか？\n<wait>
m/MS005B.BIN	0:0E	23	911	1FD2	渡邊：		Watanabe:	v005		
m/MS005B.BIN	0:0E	24	919	1FD3	今回の事{08:62}本当に感謝{08:13}。\n君達のお陰で、{01:08}を倒せた{08:5F}。\n<wait>		First of all, I'd like to offer you my deepest gratitude.\nIf not for your efforts, we'd never have been able to take down Baal.\n<wait>	ours		reads: 今回の事は、本当に感謝している。\n君達のお陰で、バエルを倒せたんだ。\n<wait>
m/MS005B.BIN	0:0E	25	981	1FD2	渡邊：		Watanabe:	v005		
m/MS005B.BIN	0:0E	26	989	1FD3	{08:82}{02:08}{08:39}君は本当に残念な事に{08:1A}{08:1F}が{02:08}\n<wait>		Also, it was truly unfortunate what happened to Kamikawa.\nHe was a good man...\n<wait>	v005		reads: ただ‥‥‥上河君は本当に残念な事になってしまったが‥‥‥\n<wait>
m/MS005B.BIN	0:0E	27	1032	1FD2	渡邊：		Watanabe:	v005		
m/MS005B.BIN	0:0E	28	1040	1FD3	{02:08}さて、今度奪回{08:4B}都庁が、新しい{02:0C}の基地に{08:59}のは聞い{08:14}か？\n<wait>		Anyway. As you might have heard, we are planning on relocating\nour base of operations to the newly captured governmental office.\n<wait>	v005		reads: ‥‥‥さて、今度奪回した都庁が、新しい我々の基地になるのは聞いているか？\n<wait>
m/MS005B.BIN	0:0E	29	1107	1FD2	渡邊：		Watanabe:	v005		
m/MS005B.BIN	0:0E	30	1115	1FD3	そこで、今回の功績を称えて君達にも都庁に行{08:52}もらおうと思う。\nすでに、君達の{01:2E}も用意{03:0C}{08:14}{08:85}だ。\n<wait>		Please make your way there as soon as possible.\n<wait>	v005		reads: そこで、今回の功績を称えて君達にも都庁に行ってもらおうと思う。\nすでに、君達の部屋も用意されているはずだ。\n<wait>
m/MS005B.BIN	0:0E	31	1217	1FD2	渡邊：		Watanabe:	v005		
m/MS005B.BIN	0:0E	32	1225	1FD3	迎えのジープを表に待た{08:67}おくので、君達も来てく{08:60}まえ。\n<wait>		There's a jeep waiting for you outside.\n<wait>	v005		reads: 迎えのジープを表に待たせておくので、君達も来てくれたまえ。\n<wait>
m/MS005B.BIN	0:0E	33	1288	1FD2	渡邊：		Watanabe:	v005		
m/MS005B.BIN	0:0E	34	1296	1FD3	{08:4D}で{08:62}私は一足先に都庁へ向かう。\n先に都庁で待っ{08:14}よ。\n		That's everything for now. I'll catch up with you later.\n	v005		reads: それでは、私は一足先に都庁へ向かう。\n先に都庁で待っているよ。\n
m/MS005B.BIN	0:0E	35	1441	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0E	36	1449	1FD3	当直ぐらい、俺達{08:74}で十分だ。\nお前{08:62}英雄らしく、悠々と{01:2E}で休み{08:56}{08:4A}な！\n<wait>		The night watch, we've got that covered ourselves.\nYou go rest up in your room like the hero you are!\n<wait>	ours		reads: 当直ぐらい、俺達だけで十分だ。\nお前は、英雄らしく、悠々と部屋で休みでもしてな！\n<wait>
m/MS005B.BIN	0:0E	37	1525	1FD2	女性：		Woman:	v005		
m/MS005B.BIN	0:0E	38	1533	1FD3	そうそう、当直{08:52}言{08:51}{08:52}、時間{08:71}の間くっちゃべっ{08:2B}ダケな{08:5F}{08:42}！\n<wait>		Yeah yeah, night watch or not, we're just chatting away till it's time!\n<wait>	ours		reads: そうそう、当直って言ったって、時間までの間くっちゃべってるダケなんだから！\n<wait>
m/MS005B.BIN	0:0E	39	1612	13						
m/MS005B.BIN	0:0E	40	1709	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0E	41	1717	1FD3	労働{02:02}解放作戦{08:62}成功だ{08:51}な！\n<wait>		The labor {02:02} liberation operation was a success!\n<wait>	ours		reads: 労働キャンプ解放作戦は、成功だったな！\n<wait>
m/MS005B.BIN	0:0E	42	1754	1FD2	女性：		Woman:	v005		
m/MS005B.BIN	0:0E	43	1762	1FD3	{01:38}達は突入部隊だ{08:51}{08:5F}{08:84}、潜入部隊が上手くや{08:52}く{08:60}お陰で、\nかなり楽だ{08:51}わ！\n<wait>		We were the assault squad, but thanks to the infiltration squad's work,\nit was pretty easy for us!\n<wait>	ours		reads: アタシ達は突入部隊だったんだけど、潜入部隊が上手くやってくれたお陰で、\nかなり楽だったわ！\n<wait>
m/MS005B.BIN	0:0E	44	1844	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:0E	45	1852	1FD3	色々と、ヤなモンは見ち{08:20}がな{02:08}\n<wait>		We saw all kinds of nasty stuff, though......\n<wait>	ours		reads: 色々と、ヤなモンは見ちまったがな‥‥‥\n<wait>
