id	file_off	va	section	slot_bytes	refs	record_width	max_cols	jp	en	note
rdata_064f84	00064f84	00466784	.rdata	16	00461d97		15	GetActiveWindow	GetActiveWindow	
rdata_064f94	00064f94	00466794	.rdata	12	00461d86		11	MessageBoxA	MessageBoxA	
rdata_064fa0	00064fa0	004667a0	.rdata	12	00461d6f		11	user32.dll	user32.dll	
rdata_064fac	00064fac	004667ac	.rdata	8	00462a42		7	1#QNAN	1#QNAN	
rdata_064fb4	00064fb4	004667b4	.rdata	8	00462a1e		7	1#INF	1#INF	
rdata_064fbc	00064fbc	004667bc	.rdata	8	004629ee		7	1#IND	1#IND	
rdata_064fc4	00064fc4	004667c4	.rdata	12	004629b0		11	1#SNAN	1#SNAN	
rdata_065348	00065348	00466b48	.rdata	14			13	FindResourceA	FindResourceA	@skip unreachable
rdata_06538a	0006538a	00466b8a	.rdata	12			11	FreeLibrary	FreeLibrary	@skip unreachable
rdata_0653fa	000653fa	00466bfa	.rdata	12			11	CloseHandle	CloseHandle	@skip unreachable
rdata_065414	00065414	00466c14	.rdata	12			11	GetFileSize	GetFileSize	@skip unreachable
rdata_065422	00065422	00466c22	.rdata	12			11	CreateFileA	CreateFileA	@skip unreachable
rdata_06542e	0006542e	00466c2e	.rdata	14			13	KERNEL32.dll	KERNEL32.dll	@skip unreachable
rdata_06543e	0006543e	00466c3e	.rdata	18			17	GetAsyncKeyState	GetAsyncKeyState	@skip unreachable
rdata_065452	00065452	00466c52	.rdata	12			11	ClipCursor	ClipCursor	@skip unreachable
rdata_065470	00065470	00466c70	.rdata	18			17	GetDesktopWindow	GetDesktopWindow	@skip unreachable
rdata_065484	00065484	00466c84	.rdata	14			13	GetClipCursor	GetClipCursor	@skip unreachable
rdata_065494	00065494	00466c94	.rdata	14			13	GetCursorPos	GetCursorPos	@skip unreachable
rdata_0654b0	000654b0	00466cb0	.rdata	14			13	DestroyWindow	DestroyWindow	@skip unreachable
rdata_0654ce	000654ce	00466cce	.rdata	16			15	DefWindowProcA	DefWindowProcA	@skip unreachable
rdata_0654f2	000654f2	00466cf2	.rdata	16			15	CreateWindowExA	CreateWindowExA	@skip unreachable
rdata_065522	00065522	00466d22	.rdata	18			17	DispatchMessageA	DispatchMessageA	@skip unreachable
rdata_06555a	0006555a	00466d5a	.rdata	12			11	FindWindowA	FindWindowA	@skip unreachable
rdata_065566	00065566	00466d66	.rdata	12			11	USER32.dll	USER32.dll	@skip unreachable
rdata_06559d	0006559d	00466d9d	.rdata	17			16	\x01GetStockObject	\x01GetStockObject	@skip unreachable
rdata_0655b0	000655b0	00466db0	.rdata	18			17	GetGlyphOutlineA	GetGlyphOutlineA	@skip unreachable
rdata_0655e4	000655e4	00466de4	.rdata	12			11	CreateFontA	CreateFontA	@skip unreachable
rdata_0655f2	000655f2	00466df2	.rdata	14			13	DeleteObject	DeleteObject	@skip unreachable
rdata_065622	00065622	00466e22	.rdata	10			9	GDI32.dll	GDI32.dll	@skip unreachable
rdata_06565e	0006565e	00466e5e	.rdata	14			13	ADVAPI32.dll	ADVAPI32.dll	@skip unreachable
rdata_06566e	0006566e	00466e6e	.rdata	18			17	DirectDrawCreate	DirectDrawCreate	@skip unreachable
rdata_065680	00065680	00466e80	.rdata	10			9	DDRAW.dll	DDRAW.dll	@skip unreachable
rdata_06568a	0006568a	00466e8a	.rdata	14			13	DSOUND.dll	DSOUND.dll	@skip unreachable
rdata_065698	00065698	00466e98	.rdata	20			19	DirectInputCreateA	DirectInputCreateA	@skip unreachable
rdata_0656ac	000656ac	00466eac	.rdata	12			11	DINPUT.dll	DINPUT.dll	@skip unreachable
rdata_0656ba	000656ba	00466eba	.rdata	16			15	joyGetDevCapsA	joyGetDevCapsA	@skip unreachable
rdata_0656cc	000656cc	00466ecc	.rdata	14			13	joyGetNumDevs	joyGetNumDevs	@skip unreachable
rdata_0656dc	000656dc	00466edc	.rdata	12			11	joyGetPosEx	joyGetPosEx	@skip unreachable
rdata_0656ea	000656ea	00466eea	.rdata	12			11	timeGetTime	timeGetTime	@skip unreachable
rdata_0656f8	000656f8	00466ef8	.rdata	16			15	midiStreamClose	midiStreamClose	@skip unreachable
rdata_06570a	0006570a	00466f0a	.rdata	24			23	midiOutUnprepareHeader	midiOutUnprepareHeader	@skip unreachable
rdata_065724	00065724	00466f24	.rdata	14			13	midiOutReset	midiOutReset	@skip unreachable
rdata_065734	00065734	00466f34	.rdata	16			15	midiStreamStop	midiStreamStop	@skip unreachable
rdata_065746	00065746	00466f46	.rdata	10			9	mmioRead	mmioRead	@skip unreachable
rdata_065752	00065752	00466f52	.rdata	12			11	mmioAscend	mmioAscend	@skip unreachable
rdata_065760	00065760	00466f60	.rdata	12			11	mmioDescend	mmioDescend	@skip unreachable
rdata_06576e	0006576e	00466f6e	.rdata	20			19	midiStreamProperty	midiStreamProperty	@skip unreachable
rdata_065784	00065784	00466f84	.rdata	16			15	midiStreamOpen	midiStreamOpen	@skip unreachable
rdata_065796	00065796	00466f96	.rdata	14			13	midiStreamOut	midiStreamOut	@skip unreachable
rdata_0657a6	000657a6	00466fa6	.rdata	22			21	midiOutPrepareHeader	midiOutPrepareHeader	@skip unreachable
rdata_0657be	000657be	00466fbe	.rdata	16			15	midiOutShortMsg	midiOutShortMsg	@skip unreachable
rdata_0657d0	000657d0	00466fd0	.rdata	18			17	midiStreamRestart	midiStreamRestart	@skip unreachable
rdata_0657e4	000657e4	00466fe4	.rdata	10			9	mmioOpenA	mmioOpenA	@skip unreachable
rdata_0657ee	000657ee	00466fee	.rdata	10			9	WINMM.dll	WINMM.dll	@skip unreachable
rdata_0657fa	000657fa	00466ffa	.rdata	10			9	GetCPInfo	GetCPInfo	@skip unreachable
rdata_065806	00065806	00467006	.rdata	8			7	GetACP	GetACP	@skip unreachable
rdata_065842	00065842	00467042	.rdata	12			11	ExitProcess	ExitProcess	@skip unreachable
rdata_065864	00065864	00467064	.rdata	18			17	GetCurrentProcess	GetCurrentProcess	@skip unreachable
rdata_065878	00065878	00467078	.rdata	18			17	GetModuleHandleA	GetModuleHandleA	@skip unreachable
rdata_06589e	0006589e	0046709e	.rdata	16			15	GetCommandLineA	GetCommandLineA	@skip unreachable
rdata_06592e	0006592e	0046712e	.rdata	14			13	GetLastError	GetLastError	@skip unreachable
rdata_06597e	0006597e	0046717e	.rdata	12			11	GetFileType	GetFileType	@skip unreachable
rdata_0659fa	000659fa	004671fa	.rdata	20			19	GetModuleFileNameA	GetModuleFileNameA	@skip unreachable
rdata_065a10	00065a10	00467210	.rdata	24			23	FreeEnvironmentStringsA	FreeEnvironmentStringsA	@skip unreachable
rdata_065a2a	00065a2a	0046722a	.rdata	24			23	FreeEnvironmentStringsW	FreeEnvironmentStringsW	@skip unreachable
rdata_065a44	00065a44	00467244	.rdata	22			21	GetEnvironmentStrings	GetEnvironmentStrings	@skip unreachable
rdata_065a5c	00065a5c	0046725c	.rdata	24			23	GetEnvironmentStringsW	GetEnvironmentStringsW	@skip unreachable
rdata_065a76	00065a76	00467276	.rdata	18			17	FlushFileBuffers	FlushFileBuffers	@skip unreachable
data_065c54	00065c54	00468054	.data	8	004641f2		7	ＢＧＭ		@skip debug-menu
data_065c5c	00065c5c	0046805c	.data	8	004641f8		7	ＳＥ		@skip debug-menu
data_065c64	00065c64	00468064	.data	12	004641fe		11	魔法効果		@skip debug-menu
data_065c70	00065c70	00468070	.data	12	0046420a		11	悪魔全滅		@skip debug-menu
data_065c7c	00065c7c	0046807c	.data	16	0046421c		15	アイテム取得		@skip debug-menu
data_065c8c	00065c8c	0046808c	.data	12	00464222		11	能力値変化		@skip debug-menu
data_065c98	00065c98	00468098	.data	12	00464228		11	３Ｄ移動		@skip debug-menu
data_065ca4	00065ca4	004680a4	.data	12	0046422e		11	フラグ変更		@skip debug-menu
data_065cb0	00065cb0	004680b0	.data	8	00464234		7	セーブ		@skip debug-menu
data_065cb8	00065cb8	004680b8	.data	8	0046423a		7	ロード		@skip debug-menu
data_065cc0	00065cc0	004680c0	.data	12	00464240		11	データ確認		@skip debug-menu
data_065ccc	00065ccc	004680cc	.data	8	00464252		7	＋１		@skip debug-menu
data_065cd4	00065cd4	004680d4	.data	8	00464258		7	－１		@skip debug-menu
data_065cdc	00065cdc	004680dc	.data	8	0046425e		7	＋１０		@skip debug-menu
data_065ce4	00065ce4	004680e4	.data	8	00464264		7	－１０		@skip debug-menu
data_065cec	00065cec	004680ec	.data	12	0046426a		11	＋１００		@skip debug-menu
data_065cf8	00065cf8	004680f8	.data	12	00464270		11	－１００		@skip debug-menu
data_065d04	00065d04	00468104	.data	8	00464276		7	距離		@skip debug-menu
data_065d0c	00065d0c	0046810c	.data	8	0046427c		7	実行		@skip debug-menu
data_065d14	00065d14	00468114	.data	20	0040148f		19	<デバッグメニュー>		@skip debug-menu
data_065d28	00065d28	00468128	.data	16	00401502		15	<魔法デバッグ>		@skip debug-menu
data_065d38	00065d38	00468138	.data	12	00401533		11	%s(%.1d) +1	%s(%.1d) +1	
data_065d44	00065d44	00468144	.data	16	004015d7		15	%3d %s	%3d %s	
data_065d84	00065d84	00468184	.data	16	00401de4		15	fc\\fc%.4x.bmp	fc\\fc%.4x.bmp	
data_065d94	00065d94	00468194	.data	4	00401e05		3	rb	rb	
data_065d98	00065d98	00468198	.data	20	00401e3d		19	fc\\fc%.4x%01d.bin	fc\\fc%.4x%01d.bin	
data_065dac	00065dac	004681ac	.data	4	00401e4f		3	rb	rb	
data_065db0	00065db0	004681b0	.data	20	00401e71		19	fc\\fc%.4x%01d.bin	fc\\fc%.4x%01d.bin	
data_065dc4	00065dc4	004681c4	.data	4	00401e83		3	rb	rb	
data_065dc8	00065dc8	004681c8	.data	16	00401eef		15	fc\\fc%.4x.bin	fc\\fc%.4x.bin	
data_065dd8	00065dd8	004681d8	.data	4	00401f01		3	rb	rb	
data_065ddc	00065ddc	004681dc	.data	16	00401f26		15	fc\\fc%.4x.bin	fc\\fc%.4x.bin	
data_065dec	00065dec	004681ec	.data	4	00401f34		3	rb	rb	
data_065df0	00065df0	004681f0	.data	16	00401f46		15	fc\\fch%.4x.bin	fc\\fch%.4x.bin	
data_065e00	00065e00	00468200	.data	4	00401f54		3	rb	rb	
data_065e04	00065e04	00468204	.data	16	00401f79		15	et\\ca%.4x.bin	et\\ca%.4x.bin	
data_065e14	00065e14	00468214	.data	4	00401f87		3	rb	rb	
data_065e18	00065e18	00468218	.data	12	00401f99		11	m\\m%.4x.bin	m\\m%.4x.bin	
data_065e24	00065e24	00468224	.data	4	00401fa9		3	rb	rb	
data_065e28	00065e28	00468228	.data	16	00402137		15	et\\a%.4x.bin	et\\a%.4x.bin	
data_065e38	00065e38	00468238	.data	4	00402149		3	rb	rb	
data_065e3c	00065e3c	0046823c	.data	16	00401fbb		15	s\\sm%.3x.bin	s\\sm%.3x.bin	
data_065e4c	00065e4c	0046824c	.data	4	00401fce		3	rb	rb	
data_065e50	00065e50	00468250	.data	16	00401fe0		15	s\\sb%.3x.bin	s\\sb%.3x.bin	
data_065e60	00065e60	00468260	.data	4	00401ff3		3	rb	rb	
data_065e64	00065e64	00468264	.data	16	00402005		15	s\\st%.3x.bin	s\\st%.3x.bin	
data_065e74	00065e74	00468274	.data	4	00402013		3	rb	rb	
data_065e78	00065e78	00468278	.data	16	00402025		15	s\\se%.3x.bin	s\\se%.3x.bin	
data_065e88	00065e88	00468288	.data	4	00402033		3	rb	rb	
data_065e8c	00065e8c	0046828c	.data	16	00402056		15	m\\ms%.4x.bin	m\\ms%.4x.bin	
data_065e9c	00065e9c	0046829c	.data	4	00402064		3	rb	rb	
data_065ea0	00065ea0	004682a0	.data	12	00402089		11	p\\p%.4x.bin	p\\p%.4x.bin	
data_065eac	00065eac	004682ac	.data	4	00402097		3	rb	rb	
data_065eb0	00065eb0	004682b0	.data	16	004020a6		15	et\\et%.4x.bin	et\\et%.4x.bin	
data_065ec0	00065ec0	004682c0	.data	4	004020b4		3	rb	rb	
data_065ec4	00065ec4	004682c4	.data	16	004020c3		15	et\\et%.4x.bin	et\\et%.4x.bin	
data_065ed4	00065ed4	004682d4	.data	4	004020d1		3	rb	rb	
data_065ed8	00065ed8	004682d8	.data	12	004020e0		11	gd%.4x.bin	gd%.4x.bin	
data_065ee4	00065ee4	004682e4	.data	4	004020ee		3	rb	rb	
data_065ee8	00065ee8	004682e8	.data	16	00402178		15	et\\id%.4x.bin	et\\id%.4x.bin	
data_065ef8	00065ef8	004682f8	.data	4	0040218a		3	rb	rb	
data_065f4c	00065f4c	0046834c	.data	20	0046831a		19	オートマッピング	Auto Map	
data_065f60	00065f60	00468360	.data	24	00468320		23	オートナビゲーション	Auto Navi	
data_065f78	00065f78	00468378	.data	12	00468326		11	ゲーム中断	Exit	
data_065f84	00065f84	00468384	.data	12	00468332		11	中断する	Exit	
data_065f90	00065f90	00468390	.data	12	00468338		11	中断しない	Back	
data_065f9c	00065f9c	0046839c	.data	12	00468342		11	自由表示	Auto	
data_065fa8	00065fa8	004683a8	.data	12	00468348		11	固定表示	Fixed	
data_065fb4	00065fb4	004683b4	.data	4	00403a1a		3	wb	wb	
data_065fb8	00065fb8	004683b8	.data	4	00403c58		3	rb	rb	
data_065fbc	00065fbc	004683bc	.data	12	00404011		11	<SYSTEM> %s	<SYSTEM> %s	
data_065fc8	00065fc8	004683c8	.data	12	00404025		11	<SYSTEM>	<SYSTEM>	
data_065fd4	00065fd4	004683d4	.data	4	00404246		3	rb	rb	
data_065fd8	00065fd8	004683d8	.data	8	004042a4		7	LV %2d	LV %2d	
data_065fe0	00065fe0	004683e0	.data	8	0040430c		7	B%1d	B%1d	
data_065fe8	00065fe8	004683e8	.data	8	00404335		7	%1dF	%1dF	
data_066031	00066031	00468431	.data	3			2	e@	e@	@skip unreachable
data_066068	00066068	00468468	.data	28	00405d7d		27	コンディション影響フロー		@skip debug-menu
data_066084	00066084	00468484	.data	8	0040651f		7	ATTACK	ATTACK	
data_06608c	0006608c	0046848c	.data	8	00406566		7	ATTACK	ATTACK	
data_066094	00066094	00468494	.data	8	00406592		7	SWORD	SWORD	
data_0660a0	000660a0	004684a0	.data	8	00406661		7	MAGIC	MAGIC	
data_0660a8	000660a8	004684a8	.data	8	004066e1		7	ITEM	ITEM	
data_0660b0	000660b0	004684b0	.data	8	00406721		7	COMP	COMP	
data_0660b8	000660b8	004684b8	.data	8	00406751		7	EXTRA	EXTRA	
data_0660c0	000660c0	004684c0	.data	8	004067e6		7	RETURN	RETURN	
data_0660c8	000660c8	004684c8	.data	8	0040681d		7	DEFENCE	DEFENCE	
data_0660d0	000660d0	004684d0	.data	24	00409a51		23	攻撃がとどかない！	Too far to hit!	
data_066218	00066218	00468618	.data	16	0040f97e		15	敵行動フロー		@skip debug-menu
data_066234	00066234	00468634	.data	24	00412200		23	　　　　　　　　　　	　　　　　　　　　　	
data_066254	00066254	00468654	.data	24	00412494		23	扉はロックされている	The door is locked	
data_06626c	0006626c	0046866c	.data	24	004126c3		23	扉はロックされている	The door is locked	
data_066284	00066284	00468684	.data	12	004132e1		11	\nきたべ		@skip debug-marker
data_066403	00066403	00468803	.data	5			4	JA	JA	@skip unreachable
data_066452	00066452	00468852	.data	12			11	 NA	 NA	@skip unreachable
data_066480	00066480	00468880	.data	32	00414b38		31	[ITEM] 使用できる人が居ません	Unable to use	
data_0664a0	000664a0	004688a0	.data	28	00414b18		27	[ITEM] アイテムが有りません	No item	
data_0664bc	000664bc	004688bc	.data	28	00414bd6		27	[DDS] DDSを所持していません	DDS not installed	
data_0664d8	000664d8	004688d8	.data	28	00414c5d		27	[FIGHT] 戦う相手が居ません	No enemy present	
data_0664f4	000664f4	004688f4	.data	28	00414cff		27	[TALK] 会話相手が居ません	No one to talk to	
data_066510	00066510	00468910	.data	32	00414d3f		31	[TALK] DCSを所持していません	DCS not installed	
data_066530	00066530	00468930	.data	32	00414dd6		31	[MAPPING] AMSを所持していません	AMS not installed	
data_066550	00066550	00468950	.data	32	0041513d		31	[TALK] DCSを所持していません	DCS not installed	
data_066570	00066570	00468970	.data	28	0041517d		27	[FIGHT] 戦う相手が居ません	No enemy present	
data_06658c	0006658c	0046898c	.data	28	004151dd		27	[GUN] 戦う相手が居ません	No enemy present	
data_0665a8	000665a8	004689a8	.data	32	00415304		31	[ITEM] アイテムを使用できません	Cannot use item	
data_0665c8	000665c8	004689c8	.data	28	0041533e		27	[ITEM] アイテムが有りません	No item	
data_0665e4	000665e4	004689e4	.data	32	004153bd		31	[DEFENCE] 戦う相手が居ません	No enemy present	
data_066604	00066604	00468a04	.data	28	0041544d		27	[DDS] DDSを所持していません	DDS not installed	
data_066620	00066620	00468a20	.data	32	0041550d		31	[MAPPING] AMSを所持していません	AMS not installed	
data_066640	00066640	00468a40	.data	4	004161bc		3	▲	▲	
data_066644	00066644	00468a44	.data	4	00416141		3	▲	▲	
data_06668c	0006668c	00468a8c	.data	8	00468a80		7	CALL	CALL	
data_066694	00066694	00468a94	.data	8	00468a84		7	RETURN	RETURN	
data_06669c	0006669c	00468a9c	.data	8	00468a88		7	PURGE	PURGE	
data_0666a4	000666a4	00468aa4	.data	8	00417826		7	<DDS>	<DDS>	
data_0666ac	000666ac	00468aac	.data	16	004190c0		15	%sを会得した！	Learned %s!	
data_0666bc	000666bc	00468abc	.data	16	0041915b		15	%sを会得した！	Learned %s!	
data_0666cc	000666cc	00468acc	.data	32	00419317		31	ポイントを振り分けてください\n	Distribute points\n	
data_0666ec	000666ec	00468aec	.data	20	0041932b		19	後 %.1d ポイント  \n	%.1d points left\n	
data_066700	00066700	00468b00	.data	24	00419789		23	%sはレベルが上がった\n	%s levelled up	
data_066718	00066718	00468b18	.data	12	0041a3d3		11	<アイテム>	<Items>	
data_066724	00066724	00468b24	.data	12	0041a291		11	%-20.20s%2d	%-20.20s%2d	
data_066858	00066858	00468c58	.data	8	00468bf8		7	哀願的	Pleading	
data_066860	00066860	00468c60	.data	8	00468bfc		7	友好的	Friendly	
data_066868	00066868	00468c68	.data	12	00468c00		11	超敵対的	Very Hostile	
data_066874	00066874	00468c74	.data	8	00468c04		7	敵対的	Hostile	
data_06687c	0006687c	00468c7c	.data	8	00468c08		7	通常	Normal	
data_066888	00066888	00468c88	.data	4	00468c2c		3	NO	NO	
data_06688c	0006688c	00468c8c	.data	40	0041ae0c		39	ＤＡＳがインストゥールされていません	DAS not installed	
data_0668b4	000668b4	00468cb4	.data	8	0041ae68		7	%s　%s\n	%s　%s\n	
data_0668bc	000668bc	00468cbc	.data	32	0041af05		31	アナライズデータがありません\n	No analysis data\n	
data_0668dc	000668dc	00468cdc	.data	16	0041af8b		15	属性　 %c/%c\n	Align  %c/%c\n	
data_0668ec	000668ec	00468cec	.data	16	0041afc1		15	レベル L%2d\n	Level  %2d\n	dropped the redundant literal L from 'L%2d'
data_0668fc	000668fc	00468cfc	.data	16	0041b005		15	ＨＰ   %d/%d\n	HP     %d/%d\n	
data_06690c	0006690c	00468d0c	.data	16	0041b049		15	ＭＰ   %d/%d\n	MP     %d/%d\n	
data_06691c	0006691c	00468d1c	.data	12	0041b089		11	態度   %s\n	Mood   %s\n	'Attitude' will not fit the 7-cell label column
data_066928	00066928	00468d28	.data	12	0041b0c9		11	状態   %s\n	Status %s\n	
data_066934	00066934	00468d34	.data	28	0041b180		27	詳細アナライズしますか？\n	Run detailed analysis?\n	
data_066950	00066950	00468d50	.data	20	0041baab		19	%c %-22.22s %6ld   	%c %-22.22s %6ld   	
data_066964	00066964	00468d64	.data	24	0041bad3		23	%c %-22.22s %6ldx%2d	%c %-22.22s %6ldx%2d	
data_06697c	0006697c	00468d7c	.data	24	0041bafc		23	%c %-22.22s          	%c %-22.22s          	
data_066994	00066994	00468d94	.data	24	0041bb1d		23	%c %-22.22s          	%c %-22.22s          	
data_0669ac	000669ac	00468dac	.data	32	0041bbde		31	                合計 %10ld   	               Total %10ld   	one lead space dropped: Total is 1 cell wider than 合計
data_0669cc	000669cc	00468dcc	.data	24	0041bbf2		23	                合計 	               Total 	one lead space dropped: Total is 1 cell wider than 合計
data_0669e4	000669e4	00468de4	.data	16	0041bc5f		15	合計 %10ld   	Total %10ld   	
data_0669f4	000669f4	00468df4	.data	8	0041e7a4		7	       	       	
data_0669fc	000669fc	00468dfc	.data	8	0041e7c6		7	%7ld	%7ld	
data_066a08	00066a08	00468e08	.data	8	0041e802		7	       	       	
